"Ventas por linea de artículo","","","","","","","","","","",""
"","Desclinea","Articulo","Descripción","Cant.Vendida","Importe","Impuesto","Total","","$11,041,226.83","$8,376,760.82","75.87%"
"FOC","FOCOS                                             ","FOOSRH7","Foco HALOGENO OSRAM 72w","26","458.76","0","458.76","","","",""
"CHIENLA","CHILES ENLATADOS","CHLARL","Chiles Largos Güeros LOL-TUN 320g","18","450","0","450","","","",""
"PANE","PANES                                             ","7501030475514","MANTECADAS DE NUEZ 6 PZ 184g","24","450","0","450","","","",""
"NAV","NAVAJAS                                           ","NALOR","Navaja LORD 10pz","28","449","0","449","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTRIS1","Ricitos de Oro 100g","31","447.9","0","447.9","","","",""
"SER","SERVILLETAS                                       ","SEIRI3","Servitoalla Iris TRIPACK 3/50hoj","14","443.9","0","443.9","","","",""
"CHOCOLATE","CHOCOLATES","CHCHOBF","Choco Milk FRESA Bolsa 350g","13","440.7","0","440.7","","","",""
"PANE","PANES                                             ","7501000112845","REBANADAS","88","440","0","440","","","",""
"GELA","GELATINA                                          ","GEGARFA","Gelatina Gari FRESA AGUA 50/170g","1","439.9","0","439.9","","","",""
"GELA","GELATINA                                          ","GEGARU","Gelatina Gari UVA 50/170g","1","439.9","0","439.9","","","",""
"PAÑ","PAÑALES                                           ","PAABSR","Absorsec RN 14p","12","435.5","0","435.5","","","",""
"ESPECIE","ESPECIES                                          ","GRANO1","Granola 1kg","11","435","0","435","","","",""
"PAÑ","PAÑALES                                           ","PAANGJ","Pañal Angel Jumbo 60pz","3","435","0","435","","","",""
"SOP","SOPAS                                             ","SOMODMA","Macarron CORTO la moderna c/20","4","431.6","0","431.6","","","",""
"VELADORAS","VELADORAS","VELICAN","Limonero CANDELARIA Mexico","43","430","0","430","","","",""
"VELADORAS","VELADORAS","VEECOES3","Ecol ESMERALDA #3","10","429","0","429","","","",""
"FRITURA","FRITURAS                                          ","7501011123380","DORITOS VARIEDAD","45","428.5","0","428.5","","","",""
"CHISEC","CHILES SECOS                                      ","CHSECPA","Chile Pasilla KILO","3.5","425","0","425","","","",""
"GELA","GELATINA                                          ","GEPRO","GELATINA Pronto 84g","47","424.45","0","424.45","","","",""
"CLORO","CLOROS                                            ","CLVAN5","Vanish 420 ml","25","420.1","0","420.1","","","",""
"FRITURA","FRITURAS                                          ","7501011101456","SABRITAS ORIGINALES","38","417","0","417","","","",""
"TINTES","TINTES","TIKOL46","Koleston #46 Borgoña","8","411","0","411","","","",""
"GALLETAS","GALLETAS","GADOR","Doras de COCO 15/180g","3","405","0","405","","","",""
"ESPECIE","ESPECIES                                          ","SAMACA","Ablandador 155g","21","399","0","399","","","",""
"SEM","SEMILLAS                                          ","SEALPC","Alpiste COMPUESTO  KG","16.5","397","0","397","","","",""
"GALLETAS","GALLETAS","GAMARMR","Marias MODERNA 20/140gr","3","396","0","396","","","",""
"PAÑ","PAÑALES                                           ","PAANGG","Pañal Angel Grande 60pz","3","393","0","393","","","",""
"FARMACIA","FARMACIA                                          ","FAGAS","Gasas LUNA c/ 100pzas","4","390","0","390","","","",""
"VIN","VINOS                                             ","CESOLBC","Cerveza Sol CLAMATO 16oz","24","390","0","390","","","",""
"GALLETAS","GALLETAS","GAMARMA","Marias MARIBEL pz","60","388.5","0","388.5","","","",""
"SOP","SOPAS                                             ","SOMODIC","SOPA MOD. INSTANTANEA CODITO","76","380","0","380","","","",""
"SOP","SOPAS                                             ","SOMODIFI","SOPA MODERNA INSTANTANEA FIDEO","76","380","0","380","","","",""
"FARMACIA","FARMACIA                                          ","FADESA","Desenfriol ADULTO 30tab","8","375.2","0","375.2","","","",""
"SOP","SOPAS                                             ","041789008023","Pasta Ottima Pesto 93.4g","75","375","0","375","","","",""
"BRILLANTINA","BRILLANTINAS                                      ","BRSIL","BRILLANTINA SILICA 120 ml","11","372.9","0","372.9","","","",""
"JOS","JOSUE","MAROS","Mazapan de la ROSA 28g","135","371","0","371","","","",""
"TE","TE´S                                              ","TEMACL50","Te LIMON 50sob","11","371","0","371","","","",""
"PIL","PIAGUIAA","PITECAA","PILA Tectron AA p","186","370.2944","0","370.2944","","","",""
"CEREAL","CEREALES                                          ","CECOR6","Corn Flakes 500 GR","9","370.2","0","370.2","","","",""
"GALLETAS","GALLETAS","7501000669509","Barras de coco Gamesa 117g","49","370","0","370","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRCOSEB5","Frijol Costeña ENTER BAYO 568gr","33","368.7996","0","368.7996","","","",""
"SHAMPOO","SHAMPOO´S                                         ","CRSAV3","Crema Peinar Savile 300ml","11","363","0","363","","","",""
"PANE","PANES                                             ","7501030475521","MANTECADAS Vainilla 6 pz","19","362","0","362","","","",""
"PANE","PANES                                             ","7501000112203","Colchones 6pz 130g","36","360","0","360","","","",""
"SYS","LINEA GENERAL","CAGAR5","Caramelo Gari  500ml","15","360","0","360","","","",""
"FARMACIA","FARMACIA                                          ","TAMEN1","Talco Mennen 100g","13","353","0","353","","","",""
"PANE","PANES                                             ","7501030469827","Little Bites Chisp Choco","35","350","0","350","","","",""
"DUL","DULCES","DUHAL","DULCES HALLS","50","348","0","348","","","",""
"SHAMPOO","SHAMPOO´S                                         ","CRSEDP","Crema Peinar SEDAL Sobre","216","346.9104","0","346.9104","","","",""
"POL","POLVOS                                            ","POSABDU","Sabifrut DURAZNO 96/15g","1","345","0","345","","","",""
"POL","POLVOS                                            ","POSABJA","Sabifrut JAMAICA 96/15g","1","345","0","345","","","",""
"POL","POLVOS                                            ","POSABLI","Sabifrut LIMON 96/15g","1","345","0","345","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRSIERNB","Frijol Sierra REFRI NEGRO BLSA 430gr","28","344.02","0","344.02","","","",""
"ESPECIE","ESPECIES                                          ","SAMACS","Sabroseador 117g","13","338","0","338","","","",""
"DES","DESECHABLES                                       ","BOASAP","BOLSA DE ASA PLASTICO","77","337","0","337","","","",""
"REF","REFRESCOS                                         ","REBIGC3","Big CITRUS 3","18","336.0402","0","336.0402","","","",""
"FARMACIA","FARMACIA                                          ","FAVITG","Vitacilina GRANDE 28gr","11","334","0","334","","","",""
"PANE","PANES                                             ","7501000132706","CONCHAS 2p 120g","29","332","0","332","","","",""
"FARMACIA","FARMACIA                                          ","COKIUF","COTONETES KIUTS 100PZ","21","329.4","0","329.4","","","",""
"CAFES","CAFES","CALEGCA2","Legal CANELA 200g","9","326.2","0","326.2","","","",""
"SOP","SOPAS                                             ","SOMODFI2","Fideo 2 la MODERNA 20pz","3","323.7","0","323.7","","","",""
"CHISEC","CHILES SECOS                                      ","CHSECMOG","Mora GRANDE kg","4.565","321.05","0","321.05","","","",""
"VELADORAS","VELADORAS","VECUBING","CUBERO INMACULADA GUADALUPE","20","319.9","0","319.9","","","",""
"GALLETAS","GALLETAS","GAMARIMOCA","Marianitas CARAMELO Moderna 20/185g","2","319.8","0","319.8","","","",""
"SALS","SALSAS                                            ","SAALIZ","Salsa ALITAS Zafran 3.75kg","2","319.8","0","319.8","","","",""
"PLU","PLUMAS                                            ","LABICA","Lapicero bic AZUL","84","318.5","0","318.5","","","",""
"PANE","PANES                                             ","7501030420859","Mantecadas Chispas Chocolate 190g","17","318","0","318","","","",""
"FRITURA","FRITURAS                                          ","7501011161207","CHETOS VARIEDAD","46","317","0","317","","","",""
"ESPECIE","ESPECIES                                          ","ESANI","Anis","3.86","315.65","0","315.65","","","",""
"SOP","SOPAS                                             ","SOMODHO","Hongo la moderna C/20","3","314.9","0","314.9","","","",""
"ENLATADO","ENLATADOS                                         ","ENCHICL4","Chicharos 420gr CLEMENTE","26","312.6","0","312.6","","","",""
"PLU","PLUMAS                                            ","LABICN","Lapicero bic NEGRO","76","312.46","0","312.46","","","",""
"CHIENLA","CHILES ENLATADOS","SACOL","SALSA Chipotle MOLCAJETE 215g","26","312","0","312","","","",""
"TINTES","TINTES","TIKOL28","Koleston #28 Negro Azulado","6","311.4","0","311.4","","","",""
"JUG","JUGOS","JUBOIM","Boing  125ml MINI","97","310.1608","0","310.1608","","","",""
"PANE","PANES                                             ","7501000112326","PANQUE NUEZ 270g","10","300","0","300","","","",""
"CHIENLA","CHILES ENLATADOS","CHJALCL2","Jalapeños 220gr CLEMENTE","43","299.5","0","299.5","","","",""
"MAY","MAYONESAS                                         ","ADCLE2M","Aderezo Mil Islas Clemente 237ml","12","298.8","0","298.8","","","",""
"GALLETAS","GALLETAS","GAEMPN","Emperador NUEZ 16pz","2","297.8","0","297.8","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHCAP5","SHAMPOO Caprice 380ml","13","295.7","0","295.7","","","",""
"PAÑ","PAÑALES                                           ","PABEBXXX4","PAÑAL BEBIN EXTRA EXTRA 40","2","294","0","294","","","",""
"PAÑ","PAÑALES                                           ","PABEBG14","Bebin GD 14pz","7","293.8","0","293.8","","","",""
"JOS","JOSUE","7506174500207","Snickers 48g","25","292","0","292","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIMAX1","Limpiador Maxi Hogar 1lt Vidrios","10","292","0","292","","","",""
"QUE","QUESOS                                            ","QUPUEFK","Queso de Puerco FUD KG","3","291","0","291","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIESCA","Maizena CAJETA 24/47g","2","284","0","284","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIESCO","Maizena COCO 24/47g","2","284","0","284","","","",""
"REF","REFRESCOS                                         ","REESC2","SQUIRT 2 LT","16","284","0","284","","","",""
"INSE","INSECTIDAS                                        ","INRAIL","Raid LAMINITAS 24lam","8","280.8","0","280.8","","","",""
"TINTES","TINTES","TINUTCC","Tinte Nutrisse #50 Castaño Claro Pofundo","7","279.3","0","279.3","","","",""
"TINTES","TINTES","TINUTNP20","Tinte Nutrisse #20 Negro Profundo","7","279.3","0","279.3","","","",""
"FRITURA","FRITURAS                                          ","7501011110335","FRITOS VARIEDAD","36","279","0","279","","","",""
"TE","TE´S                                              ","TEMACV","TE VERDE 25 PZ","10","279","0","279","","","",""
"FARMACIA","FARMACIA                                          ","FACUR","Curitas  PZ","497","277","0","277","","","",""
"PANE","PANES                                             ","7503030374002","Roles 3/68.3gr","18","270","0","270","","","",""
"PAL","PALOMITAS                                         ","PAACTN","Palomitas act II NATURAL C/14","2","269.8","0","269.8","","","",""
"REF","REFRESCOS                                         ","REPEÑS2","Peñafiel Sabores 8/2lt","2","268","0","268","","","",""
"CALDO","CALDOS                                            ","CACON12","Knorr-Conso TOMATE SUPER 12","12","264","0","264","","","",""
"TE","TE´S                                              ","TEMACT","TE MACORNIC TILA 25sob","10","261","0","261","","","",""
"GEL","GEL                                               ","GEMAX","Gel MAX 250gr","30","259.8","0","259.8","","","",""
"PANE","PANES                                             ","7501030429272","Panquecitos Chispas 210g","13","258","0","258","","","",""
"TINTES","TINTES","TIKOL50","Koleston #50 Castaño claro","5","255.3","0","255.3","","","",""
"FARMACIA","FARMACIA                                          ","CUTEL","Cubre Bocas Tela pza","17","255","0","255","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRSUE","CREMA kg","8","254.25","0","254.25","","","",""
"PAPE","PAPEL                                             ","PAMIX","PAPEL MIXIOTE 50 PZ","9","252.3","0","252.3","","","",""
"REF","REFRESCOS                                         ","REMEZ2","Mezcla Linea COCA 2lt","12","251.2","0","251.2","","","",""
"JOS","JOSUE","7506174500214","MilkyWay 48g","21","251","0","251","","","",""
"CLORO","CLOROS                                            ","CLVAN1","Vanish 925ml","8","248","0","248","","","",""
"REF","REFRESCOS                                         ","RECOC15","Coca cola 1.5lt","12","247.9992","0","247.9992","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRROYY","Crema ROYAL 285g","15","247.5","0","247.5","","","",""
"FRITURA","FRITURAS                                          ","7501011102095","RUFFLES ORIGINALES","25","241","0","241","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIPINT5","Pinol AROMAS 500ml","20","239.9","0","239.9","","","",""
"PAÑ","PAÑALES                                           ","PAABSM14","Absorsec MED c/14pz","6","239.8998","0","239.8998","","","",""
"INSE","INSECTIDAS                                        ","INRAYMA2","Raid MAX CHICO  240ml","6","239.4","0","239.4","","","",""
"TINTES","TINTES","TINUT40","Tinte Nutrisse #40 MOCA","6","239.4","0","239.4","","","",""
"TINTES","TINTES","TINUT55","Tinte Nutrisse #55 Avellana","6","239.4","0","239.4","","","",""
"TINTES","TINTES","TINUTC3.0","Tinte Nutrisse #30U Castaño Oscuro","6","239.4","0","239.4","","","",""
"FARMACIA","FARMACIA                                          ","FAACRA","Acromicina ADULTO c/20","1","239","0","239","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHCAP2","SHAMPOO Caprice 220ml","22","235.7995","0","235.7995","","","",""
"PASTA","PASTAS                                            ","ENLIS2","Enjuague Listerine 250ml","6","234","0","234","","","",""
"CHISEC","CHILES SECOS                                      ","CHSECCH","Chiltipin KG","0.735","230.3","0","230.3","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHSAVS","SHAMPOO SAVILE SOBRE","96","227.3952","0","227.3952","","","",""
"JAM","JAMON                                             ","JAVIRK","JAMON VIRGINIA 1 KG","2.06","218.64","0","218.64","","","",""
"VELADORAS","VELADORAS","VEIMAASJ","Imagen Aramo San Judas ","12","216","0","216","","","",""
"SOP","SOPAS                                             ","SOMODCOR","Corbata la moderna C/20 pza","2","215.8","0","215.8","","","",""
"CAFES","CAFES","CANESCA","Nescafe MOKACCINO 25gr","36","215.379","0","215.379","","","",""
"DES","DESECHABLES                                       ","TEPLAG","Tenedor PLASTIRAM grande","28","212","0","212","","","",""
"GRAS","GRASAS                                            ","GRCOLB","Color Fiel BLANCA","25","209.3","0","209.3","","","",""
"TINTES","TINTES","TIKOL67","Koleston #67 Chocolate","4","207.6","0","207.6","","","",""
"CEREAL","CEREALES                                          ","CECHO2","Choco Crispis 290gr","10","206.9","0","206.9","","","",""
"FARMACIA","FARMACIA                                          ","FABUS36","Buscapina c/20 PZ","1","204.9","0","204.9","","","",""
"TINTES","TINTES","TIKOL55","Koleston #55 Caoba Claro","4","204.8","0","204.8","","","",""
"PAÑ","PAÑALES                                           ","PASUAJ14","Suavelastic JUM 14pz","3","201","0","201","","","",""
"AZU","AZUCAR                                            ","AZCAN2","Canderel c/200pz","2","199.8","0","199.8","","","",""
"QUE","QUESOS                                            ","QUAMAC","QueSo Amarillo CASTEL 180g","24","198.998","0","198.998","","","",""
"FARMACIA","FARMACIA                                          ","FAAGUO5","Agua OXIGENADA 420ml","11","198.5","0","198.5","","","",""
"INSE","INSECTIDAS                                        ","INRAYDO","Raidolitos","12","197.4","0","197.4","","","",""
"DES","DESECHABLES                                       ","PLCOND","Plato Con Divicion c/20","17","195.5","0","195.5","","","",""
"SER","SERVILLETAS                                       ","SERIRI","Servitoalla Iris 60Hoj","14","194.6","0","194.6","","","",""
"SER","SERVILLETAS                                       ","SEDEL","Servilleta DELSEY 125h","22","194","0","194","","","",""
"BRILLANTINA","BRILLANTINAS                                      ","BRSIL3","BRILLANTINA SILICA 30 ML","13","193.7","0","193.7","","","",""
"ESPECIE","ESPECIES                                          ","ESCHA","Charal KG","2.5","193.5","0","193.5","","","",""
"FRITURA","FRITURAS                                          ","7501011132283","CHURRUMAIS","38","192","0","192","","","",""
"JAPAS","JABONES PASTA","JPAZO","Jabon de Pasta AZO 350g","19","190","0","190","","","",""
"PANE","PANES                                             ","7501000312771","Nito + Barritas 110g","16","190","0","190","","","",""
"SALS","SALSAS                                            ","SACHA15","Chamoy MEGA 1.5 lt","7","188.3","0","188.3","","","",""
"VAI","VAINILLAS                                         ","CAGAR1","Caramelo Gari 1lt","4","187.6","0","187.6","","","",""
"JOS","JOSUE","7503003870432","Cacahuate Japones 60g","40","187.5","0","187.5","","","",""
"PANE","PANES                                             ","7503030374019","Crossan Tines 32g","37","185","0","185","","","",""
"VAI","VAINILLAS                                         ","VAGAR125","Vainilla San Salvador 125ml","30","184.992","0","184.992","","","",""
"PIL","PIAGUIAA","PITECAAA","PILA Tectron Tustry AAA","95","184.5024","0","184.5024","","","",""
"VELADORAS","VELADORAS","VECAR","Velas Carmina 16pz","4","183.6","0","183.6","","","",""
"FARMACIA","FARMACIA                                          ","FAVICPY","Vick PIRENA 12s/5g","2","181.9","0","181.9","","","",""
"FARMACIA","FARMACIA                                          ","FAGRA","Graneodin 24pzas","3","179.7","0","179.7","","","",""
"DES","DESECHABLES                                       ","VASUE","Vaso SUELTO","358","179","0","179","","","",""
"ENLATADO","ENLATADOS                                         ","ENCHICL2","Chicharos 220gr CLEMENTE","26","178.7","0","178.7","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTCAM12","Camay 100g","19","178.4996","0","178.4996","","","",""
"DES","DESECHABLES                                       ","VAREY5","Vaso Reyma #5.5 c/50pz","14","178","0","178","","","",""
"REF","REFRESCOS                                         ","RESAN2","Sangria 2lt","8","175.04","0","175.04","","","",""
"SALS","SALSAS                                            ","SATAB6","Salsa TABASCO 60ml","5","175","0","175","","","",""
"PAÑ","PAÑALES                                           ","PASUAC14","Suavelastic CH 14pz","4","173.7","0","173.7","","","",""
"QUE","QUESOS                                            ","QUDOBP","Queso DOBLE CREMA Palma","2","167","0","167","","","",""
"TOALLA","toallas","TOSABB24","Saba BUENAS NOCHES C/24pz","3","163","0","163","","","",""
"FRITURA","FRITURAS                                          ","7501011154865","SABR PAKETAXO 270g","8","162","0","162","","","",""
"ENLATADO","ENLATADOS                                         ","ENCHICZCJ2","Chicharo c/ZANAHORIA 220g CLEMENTE","20","160","0","160","","","",""
"TINTES","TINTES","TINUTC57","Tinte Nutrisse #57 Caramelo","4","159.6","0","159.6","","","",""
"DET","DETERGENTES ROPA","DEACEN5","Ace Naturals 500gr","12","157.8996","0","157.8996","","","",""
"PASTA","PASTAS                                            ","PACOLT50","Colgate Triple Accion  50ml","12","156.9","0","156.9","","","",""
"TINTES","TINTES","TINUTM","Tinte Nutrisse #73 Miel","4","152.8","0","152.8","","","",""
"CEREAL","CEREALES                                          ","CECOR86","Corn Flakes 860g","2","150","0","150","","","",""
"OTROS","OTROS                                             ","MEPAV","MECHUDO PAVILO","6","150","0","150","","","",""
"PANE","PANES                                             ","7501000112302","PANQUE DE PASAS","5","150","0","150","","","",""
"PANE","PANES                                             ","7501000310647","PANQUE MARMOL 225g","5","150","0","150","","","",""
"ESPECIE","ESPECIES                                          ","ESAMA","AMARANTO kg","2.75","149","0","149","","","",""
"SUA","SUAVISANTES","SUDAW6","DOwny 600ml","10","148","0","148","","","",""
"PANE","PANES                                             ","7501030409854","DUO NITO 124g","10","145.5","0","145.5","","","",""
"JUG","JUGOS","JUSPO","Sporade 625ml","14","144.8272","23.172351482058","167.99954716587","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTMAXL1","Jabon Liquido Maxima 1lt","3","144","0","144","","","",""
"DET","DETERGENTES ROPA","DEESP2","Espumil ROSA  250gr","20","141.9","0","141.9","","","",""
"FARMACIA","FARMACIA                                          ","FATEM5","Tempra 500 20 pz","2","139.8","0","139.8","","","",""
"JUG","JUGOS","JUVIV600","Vive 100 500ml  VERDE GD","12","138","0","138","","","",""
"CHIENLA","CHILES ENLATADOS","CHRAJR2","Rajas ROJAS 220gr COSTEÑA","12","133.95","0","133.95","","","",""
"CHIENLA","CHILES ENLATADOS","CHSER8","Serranos 105gr COSTEÑA","19","133","0","133","","","",""
"REF","REFRESCOS                                         ","REPEP6","Pepsi  600ml","14","133","0","133","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIBRA6","Limpeador BRASSO 650ml Vidrios","4","132","0","132","","","",""
"BRILLANTINA","BRILLANTINAS                                      ","BRWIL1","BRILLANTINA WILDRO 100ML","5","129.5","0","129.5","","","",""
"PANE","PANES                                             ","7501030472698","Bimbuñuelos 6p 99g","8","126","0","126","","","",""
"VELADORAS","VELADORAS","VECACA","Cafetero Carmina pz","7","126","0","126","","","",""
"REF","REFRESCOS                                         ","REMEZP6","Mezcla PEPSI 600ml","11","121","0","121","","","",""
"CHISEC","CHILES SECOS                                      ","CHSECAR","Chile de Arbol kg","1","120","0","120","","","",""
"ESPECIE","ESPECIES                                          ","ESCOMT","TIRA DE COMINO 20Pz","5","120","0","120","","","",""
"MAN","MANTECAS                                          ","TAPA","Tapa PZ","16","120","0","120","","","",""
"AZU","AZUCAR                                            ","AZSPL2","Splenda 200s","1","119.9","0","119.9","","","",""
"TINTES","TINTES","TINUTC","Tinte Nutrisse #677 Chocolate Silvia","3","119.7","0","119.7","","","",""
"TINTES","TINTES","TINUTL316","Tinte Nutrisse #316 Lavanda","3","119.7","0","119.7","","","",""
"TINTES","TINTES","TINUTNA21","Tinte Nutrisse #21 Negro Azulado Mora","3","119.7","0","119.7","","","",""
"GRAS","GRASAS                                            ","GRNUGC","Nugget CAFE pza","14","118.9","0","118.9","","","",""
"FARMACIA","FARMACIA                                          ","FABIO","Bioelectro 24tab","2","118","0","118","","","",""
"PANE","PANES                                             ","PAPANCH","panque chispas chocolate","4","118","0","118","","","",""
"OTROS","OTROS                                             ","PIEVEAAA","Pila Ever Ready AAA","9","117","0","117","","","",""
"ENLATADO","ENLATADOS                                         ","CONAT8","Coctel NATURAL 800gr","3","116.7","0","116.7","","","",""
"REF","REFRESCOS                                         ","REMEZ6","Mezcla Linea COCA  600ml","10","116.5","0","116.5","","","",""
"CHOCOLATE","CHOCOLATES","CHCHOF4","CHOCOCOA FRESA 400 G","5","115","0","115","","","",""
"SALS","SALSAS                                            ","SACHIT","SALSA CHIPOTLE TAJIN","5","115","0","115","","","",""
"DET","DETERGENTES ROPA","DEARIL4","Ariel color LIQUIDO 400ml","6","114","0","114","","","",""
"PAPE","PAPEL                                             ","PAPOL","Polipapel","2","114","0","114","","","",""
"SOP","SOPAS                                             ","SOMARR","Maruchan RES pza","12","111.9996","0","111.9996","","","",""
"ENLATADO","ENLATADOS                                         ","ELCOS4","Elote DORADO Costeña 400gr","8","111.2","0","111.2","","","",""
"CIGARRO","CIGARROS                                          ","CIMON100","Montana Lucky Original 100 CARAMELO 20c","2","110","0","110","","","",""
"REF","REFRESCOS                                         ","REMAND2","Manzanita Deliciosa 2lt","8","110","0","110","","","",""
"FARMACIA","FARMACIA                                          ","FADRA","Dramamine   24pzas","1","109.9","0","109.9","","","",""
"REF","REFRESCOS                                         ","REESC6","SQUIRT 600ml","12","108","0","108","","","",""
"SOP","SOPAS                                             ","SOMODC4","Caracol 4 la moderna c/20 pza","1","107.9","0","107.9","","","",""
"SOP","SOPAS                                             ","SOMODCR","Crinolina la moderna C/20 pza","1","107.9","0","107.9","","","",""
"SOP","SOPAS                                             ","SOMODCA3","Caracol 3 la moderna C/20 pza","1","107","0","107","","","",""
"GEL","GEL                                               ","GEBLU5","Gel Antibacterial Blumen 525ml","2","105","0","105","","","",""
"TINTES","TINTES","TIKOL466","Koleston #466 Borgoña Intenso","2","103.8","0","103.8","","","",""
"TINTES","TINTES","TIKOL70","Koleston #80 Rubio CLARO","2","103.8","0","103.8","","","",""
"MAY","MAYONESAS                                         ","ADCLE2I","Aderezo Italiana Clemente 237ml","4","99.6","0","99.6","","","",""
"SALC","SALCHICHAS                                        ","SASPA1","SALCHICHA ESPARTA 1KG","3","99","0","99","","","",""
"FRITURA","FRITURAS                                          ","7501011125957","RANCHERITOS","14","97","0","97","","","",""
"SEM","SEMILLAS                                          ","SEARRV","Arroz VALLE Verde 1kg","3","96","0","96","","","",""
"YOG","YOGHURT                                           ","YOVABN1","YOGUR VACA BLANCA NATURAL","3","96","0","96","","","",""
"OTROS","OTROS                                             ","PIEVEAA","Pila Ever Ready AA","10","95","0","95","","","",""
"PAÑU","PAÑUELOS                                          ","PAKLI10","Pañuelo KLEENEX bolsillo pza","22","95","0","95","","","",""
"JOS","JOSUE","75065317","Pelon MINI 13g","36","91","0","91","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","JASPA1","Jamon SPARTA 1kg","2","86","0","86","","","",""
"SYS","LINEA GENERAL","DUCOC","Dulce Coco","43","86","0","86","","","",""
"ENLATADO","ENLATADOS                                         ","ENPUR2","Pure Costeña LTA 220 GR","11","85","0","85","","","",""
"OTROS","OTROS                                             ","FREGO","FREGON","12","84","0","84","","","",""
"FARMACIA","FARMACIA                                          ","FAJERP3","Jeringa PLASTIPAK 3ML","26","83.5","0","83.5","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTCOR1","Coral 100gr","15","82.5","0","82.5","","","",""
"MAY","MAYONESAS                                         ","MOCOS2","Mostaza COSTEÑA Apachurrable 220g","5","80","0","80","","","",""
"PANE","PANES                                             ","HOBIM","HOTKIS BIMBO 50g","16","80","0","80","","","",""
"DUL","DULCES","7702007061949","Cool nuts Cachuate 25g","24","79.92","0","79.92","","","",""
"TINTES","TINTES","TINUT","Tinte Nutrisse #41 Cafe Delicia","2","79.8","0","79.8","","","",""
"TINTES","TINTES","TINUT#416","Tinte Nutrisse #416 LAVANDA","2","79.8","0","79.8","","","",""
"CEREAL","CEREALES                                          ","CECOR2","Corn Flakes 150 GR","5","79.5","0","79.5","","","",""
"FARMACIA","FARMACIA                                          ","FAPAR54","PARACETAMOL 500","6","77.586","12.413759722531","89.999757410288","","","",""
"MAY","MAYONESAS                                         ","ADCLE2","Aderezo Cesar Clemente 237ml","3","74.7","0","74.7","","","",""
"PANE","PANES                                             ","7501000116447","BRAN FRUT","10","74","0","74","","","",""
"CLORO","CLOROS                                            ","CLCLOR5","Clorox 500ML","9","72","0","72","","","",""
"ESPECIE","ESPECIES                                          ","ESCART","TIRA DE CARBONATO 20Pz","3","72","0","72","","","",""
"ESPECIE","ESPECIES                                          ","ESPIMT","TIRA DE PIMIENTA ENTERA 20Pz","3","72","0","72","","","",""
"PANE","PANES                                             ","7501030425373","Panquecitos 70g","9","72","0","72","","","",""
"PANE","PANES                                             ","7501000112166","ROLES GLASEADOS CH","5","70","0","70","","","",""
"AGUAS","AGUAS                                             ","AGBUR15","Agua Burst 1.5lt","9","69","0","69","","","",""
"DES","DESECHABLES                                       ","BOASA","BOLSA DE YUTE","4","68","0","68","","","",""
"FARMACIA","FARMACIA                                          ","FAXL3V","XL3 VR 24 tab","1","66.9","0","66.9","","","",""
"PAPE","PAPEL                                             ","PAEST","Papel Estrasa","3","66","0","66","","","",""
"ESPECIE","ESPECIES                                          ","ESPSO","Especias SOBRE","32","64","0","64","","","",""
"YOG","YOGHURT                                           ","YODAN1","Yog. Danone Natural 1litro","2","64","0","64","","","",""
"FARMACIA","FARMACIA                                          ","FAJERP5","Jeringa PLASTIPAK 5 ML","20","63.6","0","63.6","","","",""
"FARMACIA","FARMACIA                                          ","FATEMI","Tempra Infantil MASTICABLE c/30","1","62.9","0","62.9","","","",""
"FOC","FOCOS                                             ","FOMAX7","Foco Maxima 72w","4","60","0","60","","","",""
"PANE","PANES                                             ","7501000309726","ROLES CANELA GDE 365g","2","60","0","60","","","",""
"PANE","PANES                                             ","7503028965625","Rosco Dona 100g","4","60","0","60","","","",""
"PIL","PIAGUIAA","PIAGUNEG","Varta Aguila Negra GD D pz","10","60","0","60","","","",""
"VIN","VINOS                                             ","VICAN5","Canoas 500ml","5","60","0","60","","","",""
"LEC","LECHES                                            ","LEMED19","NUEVA Media Crema 190g TETRAPACK","10","59","0","59","","","",""
"PANE","PANES                                             ","7501030456872","DONAS espolvoreadas 140g c/8","4","56","0","56","","","",""
"VELADORAS","VELADORAS","VERO","Veladora ROTA","6","54","0","54","","","",""
"CAFES","CAFES","CACOFS","COFFEEMATE SOBRE 10/40g","1","53","0","53","","","",""
"ESPECIE","ESPECIES                                          ","ESLIN","LINASA","2","52","0","52","","","",""
